soc,occupation,job_zone
35-2021.00,Food Preparation Workers,1
35-3021.00,"Combined Food Preparation and Serving Workers, Including Fast Food",1
35-3022.00,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",1
35-3031.00,Waiters and Waitresses,1
35-3041.00,"Food Servers, Nonrestaurant",1
35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,1
35-9021.00,Dishwashers,1
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",1
37-3011.00,Landscaping and Groundskeeping Workers,1
39-2021.00,Nonfarm Animal Caretakers,1
39-3091.00,Amusement and Recreation Attendants,1
41-2011.00,Cashiers,1
41-2021.00,Counter and Rental Clerks,1
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1
45-4022.00,Logging Equipment Operators,1
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",1
47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,1
47-5011.00,"Derrick Operators, Oil and Gas",1
47-5071.00,"Roustabouts, Oil and Gas",1
51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",1
51-6011.00,Laundry and Dry-Cleaning Workers,1
53-3041.00,Taxi Drivers and Chauffeurs,1
53-7011.00,Conveyor Operators and Tenders,1
11-9051.00,Food Service Managers,2
23-2093.00,"Title Examiners, Abstractors, and Searchers",2
27-1023.00,Floral Designers,2
27-2011.00,Actors,2
27-3012.00,Public Address System and Other Announcers,2
29-2051.00,Dietetic Technicians,2
31-1011.00,Home Health Aides,2
31-1013.00,Psychiatric Aides,2
31-1014.00,Nursing Assistants,2
31-1015.00,Orderlies,2
31-2022.00,Physical Therapist Aides,2
31-9093.00,Medical Equipment Preparers,2
31-9095.00,Pharmacy Aides,2
33-3011.00,Bailiffs,2
33-3012.00,Correctional Officers and Jailers,2
33-9011.00,Animal Control Workers,2
33-9032.00,Security Guards,2
33-9091.00,Crossing Guards,2
33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",2
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,2
35-2012.00,"Cooks, Institution and Cafeteria",2
35-2014.00,"Cooks, Restaurant",2
35-3011.00,Bartenders,2
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,2
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2
37-2012.00,Maids and Housekeeping Cleaners,2
37-2021.00,Pest Control Workers,2
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",2
37-3013.00,Tree Trimmers and Pruners,2
39-1011.00,Gaming Supervisors,2
39-1012.00,Slot Supervisors,2
39-2011.00,Animal Trainers,2
39-3011.00,Gaming Dealers,2
39-3012.00,Gaming and Sports Book Writers and Runners,2
39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",2
39-3092.00,Costume Attendants,2
39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",2
39-4021.00,Funeral Attendants,2
39-5092.00,Manicurists and Pedicurists,2
39-5093.00,Shampooers,2
39-6011.00,Baggage Porters and Bellhops,2
39-9011.00,Childcare Workers,2
39-9021.00,Personal Care Aides,2
41-2022.00,Parts Salespersons,2
41-2031.00,Retail Salespersons,2
41-9011.00,Demonstrators and Product Promoters,2
41-9041.00,Telemarketers,2
43-3041.00,Gaming Cage Workers,2
43-3051.00,Payroll and Timekeeping Clerks,2
43-4051.00,Customer Service Representatives,2
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",2
43-4111.00,"Interviewers, Except Eligibility and Loan",2
43-4121.00,"Library Assistants, Clerical",2
43-4151.00,Order Clerks,2
43-4171.00,Receptionists and Information Clerks,2
43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,2
43-5011.00,Cargo and Freight Agents,2
43-5021.00,Couriers and Messengers,2
43-5031.00,"Police, Fire, and Ambulance Dispatchers",2
43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",2
43-5071.00,"Shipping, Receiving, and Traffic Clerks",2
43-9021.00,Data Entry Keyers,2
43-9061.00,"Office Clerks, General",2
45-2011.00,Agricultural Inspectors,2
45-2091.00,Agricultural Equipment Operators,2
47-2021.00,Brickmasons and Blockmasons,2
47-2041.00,Carpet Installers,2
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",2
47-2044.00,Tile and Marble Setters,2
47-2051.00,Cement Masons and Concrete Finishers,2
47-2061.00,Construction Laborers,2
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",2
47-2073.00,Operating Engineers and Other Construction Equipment Operators,2
47-2082.00,Tapers,2
47-2121.00,Glaziers,2
47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",2
47-2141.00,"Painters, Construction and Maintenance",2
47-2221.00,Structural Iron and Steel Workers,2
47-2231.00,Solar Photovoltaic Installers,2
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",2
47-3012.00,Helpers--Carpenters,2
47-3013.00,Helpers--Electricians,2
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",2
47-3016.00,Helpers--Roofers,2
47-4031.00,Fence Erectors,2
47-4051.00,Highway Maintenance Workers,2
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,2
47-5013.00,"Service Unit Operators, Oil, Gas, and Mining",2
47-5021.00,"Earth Drillers, Except Oil and Gas",2
47-5031.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",2
47-5042.00,Mine Cutting and Channeling Machine Operators,2
47-5081.00,Helpers--Extraction Workers,2
49-3021.00,Automotive Body and Related Repairers,2
49-3043.00,Rail Car Repairers,2
49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,2
49-3092.00,Recreational Vehicle Service Technicians,2
49-3093.00,Tire Repairers and Changers,2
49-9011.00,Mechanical Door Repairers,2
49-9052.00,Telecommunications Line Installers and Repairers,2
49-9096.00,Riggers,2
49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",2
51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",2
51-2022.00,Electrical and Electronic Equipment Assemblers,2
51-2031.00,Engine and Other Machine Assemblers,2
51-2091.00,Fiberglass Laminators and Fabricators,2
51-2092.00,Team Assemblers,2
51-3011.00,Bakers,2
51-3021.00,Butchers and Meat Cutters,2
51-3023.00,Slaughterers and Meat Packers,2
51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",2
51-3092.00,Food Batchmakers,2
51-3093.00,Food Cooking Machine Operators and Tenders,2
51-4051.00,Metal-Refining Furnace Operators and Tenders,2
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2
51-6093.00,Upholsterers,2
51-7011.00,Cabinetmakers and Bench Carpenters,2
51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",2
51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",2
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",2
51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",2
51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",2
51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",2
51-9083.00,Ophthalmic Laboratory Technicians,2
51-9111.00,Packaging and Filling Machine Operators and Tenders,2
51-9121.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",2
51-9122.00,"Painters, Transportation Equipment",2
51-9123.00,"Painting, Coating, and Decorating Workers",2
51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",2
51-9194.00,Etchers and Engravers,2
51-9198.00,Helpers--Production Workers,2
53-1011.00,Aircraft Cargo Handling Supervisors,2
53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,2
53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",2
53-3021.00,"Bus Drivers, Transit and Intercity",2
53-3022.00,"Bus Drivers, School or Special Client",2
53-3031.00,Driver/Sales Workers,2
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,2
53-3033.00,Light Truck or Delivery Services Drivers,2
53-4011.00,Locomotive Engineers,2
53-4021.00,"Railroad Brake, Signal, and Switch Operators",2
53-4031.00,Railroad Conductors and Yardmasters,2
53-4041.00,Subway and Streetcar Operators,2
53-5011.00,Sailors and Marine Oilers,2
53-6021.00,Parking Lot Attendants,2
53-6031.00,Automotive and Watercraft Service Attendants,2
53-6061.00,"Transportation Attendants, Except Flight Attendants",2
53-7032.00,Excavating and Loading Machine and Dragline Operators,2
53-7051.00,Industrial Truck and Tractor Operators,2
53-7061.00,Cleaners of Vehicles and Equipment,2
53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",2
53-7063.00,Machine Feeders and Offbearers,2
53-7064.00,"Packers and Packagers, Hand",2
53-7072.00,"Pump Operators, Except Wellhead Pumpers",2
53-7073.00,Wellhead Pumpers,2
53-7081.00,Refuse and Recyclable Material Collectors,2
11-9061.00,Funeral Service Managers,3
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",3
13-2072.00,Loan Officers,3
13-2082.00,Tax Preparers,3
15-1134.00,Web Developers,3
15-1151.00,Computer User Support Specialists,3
17-3027.00,Mechanical Engineering Technicians,3
19-4031.00,Chemical Technicians,3
23-2091.00,Court Reporters,3
25-1194.00,"Vocational Education Teachers, Postsecondary",3
25-2011.00,"Preschool Teachers, Except Special Education",3
25-4031.00,Library Technicians,3
25-9041.00,Teacher Assistants,3
27-1026.00,Merchandise Displayers and Window Trimmers,3
27-2023.00,"Umpires, Referees, and Other Sports Officials",3
27-4011.00,Audio and Video Equipment Technicians,3
27-4014.00,Sound Engineering Technicians,3
27-4021.00,Photographers,3
29-1124.00,Radiation Therapists,3
29-1126.00,Respiratory Therapists,3
29-1141.00,Registered Nurses,3
29-2012.00,Medical and Clinical Laboratory Technicians,3
29-2021.00,Dental Hygienists,3
29-2031.00,Cardiovascular Technologists and Technicians,3
29-2032.00,Diagnostic Medical Sonographers,3
29-2033.00,Nuclear Medicine Technologists,3
29-2034.00,Radiologic Technologists,3
29-2035.00,Magnetic Resonance Imaging Technologists,3
29-2041.00,Emergency Medical Technicians and Paramedics,3
29-2052.00,Pharmacy Technicians,3
29-2055.00,Surgical Technologists,3
29-2056.00,Veterinary Technologists and Technicians,3
29-2057.00,Ophthalmic Medical Technicians,3
29-2061.00,Licensed Practical and Licensed Vocational Nurses,3
29-2071.00,Medical Records and Health Information Technicians,3
29-2081.00,"Opticians, Dispensing",3
29-2092.00,Hearing Aid Specialists,3
29-9012.00,Occupational Health and Safety Technicians,3
31-2011.00,Occupational Therapy Assistants,3
31-2012.00,Occupational Therapy Aides,3
31-2021.00,Physical Therapist Assistants,3
31-9011.00,Massage Therapists,3
31-9091.00,Dental Assistants,3
31-9092.00,Medical Assistants,3
31-9094.00,Medical Transcriptionists,3
31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,3
31-9097.00,Phlebotomists,3
33-1011.00,First-Line Supervisors of Correctional Officers,3
39-1021.00,First-Line Supervisors of Personal Service Workers,3
39-4031.00,"Morticians, Undertakers, and Funeral Directors",3
39-5011.00,Barbers,3
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",3
39-5094.00,Skincare Specialists,3
39-6012.00,Concierges,3
39-7011.00,Tour Guides and Escorts,3
39-9031.00,Fitness Trainers and Aerobics Instructors,3
39-9041.00,Residential Advisors,3
41-3011.00,Advertising Sales Agents,3
41-9022.00,Real Estate Sales Agents,3
43-4011.00,Brokerage Clerks,3
43-4061.00,"Eligibility Interviewers, Government Programs",3
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",3
43-5061.00,"Production, Planning, and Expediting Clerks",3
43-6013.00,Medical Secretaries,3
43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",3
47-2011.00,Boilermakers,3
47-4041.00,Hazardous Materials Removal Workers,3
49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",3
49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",3
49-2091.00,Avionics Technicians,3
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",3
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",3
49-2097.00,Electronic Home Entertainment Equipment Installers and Repairers,3
49-2098.00,Security and Fire Alarm Systems Installers,3
49-3011.00,Aircraft Mechanics and Service Technicians,3
49-3041.00,Farm Equipment Mechanics and Service Technicians,3
49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",3
49-3051.00,Motorboat Mechanics and Service Technicians,3
49-9031.00,Home Appliance Repairers,3
49-9043.00,"Maintenance Workers, Machinery",3
49-9051.00,Electrical Power-Line Installers and Repairers,3
49-9062.00,Medical Equipment Repairers,3
49-9063.00,Musical Instrument Repairers and Tuners,3
49-9097.00,Signal and Track Switch Repairers,3
51-2041.00,Structural Metal Fabricators and Fitters,3
51-4011.00,"Computer-Controlled Machine Tool Operators, Metal and Plastic",3
51-8021.00,Stationary Engineers and Boiler Operators,3
51-8031.00,Water and Wastewater Treatment Plant and System Operators,3
51-8092.00,Gas Plant Operators,3
51-9082.00,Medical Appliance Technicians,3
53-2022.00,Airfield Operations Specialists,3
53-2031.00,Flight Attendants,3
53-6041.00,Traffic Technicians,3
53-7021.00,Crane and Tower Operators,3
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",4
11-9081.00,Lodging Managers,4
13-2041.00,Credit Analysts,4
13-2061.00,Financial Examiners,4
13-2071.00,Credit Counselors,4
17-1012.00,Landscape Architects,4
17-1021.00,Cartographers and Photogrammetrists,4
17-2041.00,Chemical Engineers,4
17-2161.00,Nuclear Engineers,4
17-3025.00,Environmental Engineering Technicians,4
19-2021.00,Atmospheric and Space Scientists,4
19-4092.00,Forensic Science Technicians,4
21-1092.00,Probation Officers and Correctional Treatment Specialists,4
21-1094.00,Community Health Workers,4
21-2021.00,"Directors, Religious Activities and Education",4
25-2012.00,"Kindergarten Teachers, Except Special Education",4
25-2021.00,"Elementary School Teachers, Except Special Education",4
25-2023.00,"Career/Technical Education Teachers, Middle School",4
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",4
27-1024.00,Graphic Designers,4
27-1025.00,Interior Designers,4
29-1125.00,Recreational Therapists,4
29-2011.00,Medical and Clinical Laboratory Technologists,4
33-3031.00,Fish and Game Wardens,4
39-9032.00,Recreation Workers,4
41-3021.00,Insurance Sales Agents,4
41-9021.00,Real Estate Brokers,4
